pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
5.41,37.83,178.75,Sandy
7.69,10.8,369.64,Sandy
8.04,41.15,347.26,Loamy
6.32,10.97,257.2,Loamy
7.03,17.5,189.53,Loamy
8.07,6.47,233.58,Silty
4.68,45.93,204.2,Clay
8.23,38.36,61.02,Sandy
7.08,32.72,365.51,Loamy
4.76,27.54,208.0,Loamy
7.78,15.84,220.0,Loamy
8.94,10.69,439.84,Clay
8.34,21.52,130.39,Clay
8.03,8.17,67.05,Peaty
4.63,15.1,261.91,Loamy
7.23,43.79,286.57,Silty
7.92,31.99,321.85,Silty
5.45,44.54,79.4,Silty
8.26,47.99,292.74,Peaty
7.51,47.84,195.62,Sandy
8.55,21.21,248.65,Peaty
5.92,17.93,205.06,Clay
8.43,15.52,294.84,Silty
5.99,29.93,102.19,Loamy
4.99,28.99,222.76,Peaty
6.27,15.77,114.64,Clay
7.87,38.94,130.21,Peaty
4.93,24.33,181.55,Clay
5.69,44.84,306.79,Loamy
7.02,42.82,397.14,Silty
4.61,28.38,137.32,Sandy
6.99,10.08,88.51,Peaty
6.15,47.19,304.2,Sandy
8.61,13.18,197.82,Clay
7.43,40.86,164.84,Sandy
4.72,23.47,247.9,Clay
6.24,41.59,226.73,Sandy
6.2,29.13,83.71,Clay
7.85,46.55,378.14,Loamy
8.64,26.91,363.36,Clay
7.56,36.98,162.01,Sandy
5.18,44.93,398.45,Loamy
4.78,49.41,52.5,Clay
7.92,16.41,69.85,Loamy
7.79,25.26,222.28,Loamy
6.63,49.01,324.28,Clay
6.55,48.15,100.57,Loamy
4.82,15.21,160.79,Sandy
7.06,22.68,445.85,Loamy
7.98,10.1,184.19,Silty
6.33,24.65,391.43,Sandy
6.37,30.4,340.43,Peaty
4.81,44.73,263.21,Clay
7.89,30.2,165.51,Clay
8.6,10.08,278.33,Clay
4.89,15.85,103.09,Silty
7.52,17.08,381.26,Silty
8.45,35.69,438.83,Peaty
4.78,21.3,386.99,Loamy
8.06,34.17,87.77,Silty
7.26,18.95,221.99,Sandy
8.17,32.22,172.67,Loamy
8.11,29.78,445.96,Peaty
4.62,8.14,206.23,Clay
7.73,18.83,230.49,Loamy
6.18,48.6,321.4,Clay
5.86,9.15,109.24,Sandy
5.94,16.19,424.49,Peaty
4.96,33.65,383.33,Sandy
4.64,24.4,421.19,Silty
8.76,39.29,201.03,Silty
6.05,14.83,81.71,Silty
5.4,11.11,195.34,Silty
4.87,17.19,164.73,Sandy
4.7,6.51,119.15,Clay
8.25,15.42,305.03,Clay
6.09,18.13,286.01,Clay
5.21,37.38,85.81,Loamy
5.47,46.79,384.02,Sandy
4.96,41.19,290.44,Loamy
8.41,22.8,149.48,Peaty
8.71,44.37,410.27,Peaty
8.52,7.48,135.07,Clay
6.45,37.53,108.95,Clay
5.61,28.63,371.11,Loamy
4.94,38.09,346.16,Sandy
8.85,49.12,426.11,Loamy
4.64,20.86,177.37,Silty
6.44,34.91,180.63,Sandy
6.3,49.72,392.7,Sandy
6.86,26.66,320.76,Peaty
8.53,23.12,372.62,Peaty
6.15,49.98,110.26,Clay
5.89,14.99,282.67,Sandy
7.89,12.41,159.01,Silty
5.53,14.58,343.74,Sandy
8.93,5.1,394.05,Silty
5.94,28.89,198.23,Clay
8.19,38.65,269.93,Sandy
5.02,45.29,142.54,Sandy
8.06,11.73,279.28,Clay
8.23,47.88,357.61,Loamy
7.62,12.87,379.55,Clay
4.81,31.16,363.26,Sandy
6.6,10.27,387.01,Loamy
7.65,25.32,273.04,Peaty
6.45,9.98,222.03,Sandy
7.42,33.13,279.43,Silty
5.44,41.34,145.47,Clay
6.2,29.63,62.54,Silty
8.32,15.93,357.4,Silty
6.29,30.54,332.59,Loamy
6.46,40.73,429.69,Clay
8.45,46.47,251.33,Loamy
7.89,22.31,433.14,Silty
6.44,24.63,91.6,Peaty
8.02,18.94,397.76,Loamy
4.88,9.47,174.72,Loamy
6.31,9.7,145.56,Peaty
5.27,24.61,376.89,Peaty
8.21,26.44,214.65,Peaty
8.72,39.7,312.56,Sandy
8.31,33.31,92.26,Clay
5.6,36.44,56.52,Sandy
7.2,11.76,340.98,Loamy
4.77,13.59,204.8,Peaty
6.42,37.04,399.45,Sandy
5.84,39.76,305.35,Loamy
4.89,49.79,354.28,Clay
5.96,14.69,62.14,Peaty
8.42,32.7,297.22,Peaty
8.53,30.86,230.8,Silty
6.21,48.22,395.44,Peaty
8.79,17.04,363.79,Clay
5.8,12.57,407.37,Sandy
6.66,27.49,116.82,Peaty
5.49,6.56,144.78,Clay
7.26,15.42,380.0,Clay
8.21,16.43,94.51,Loamy
6.65,19.39,214.53,Silty
7.8,48.06,95.87,Silty
6.13,36.05,358.54,Peaty
5.24,44.77,337.31,Clay
7.57,24.43,228.73,Silty
5.51,22.26,421.75,Peaty
7.49,30.56,440.34,Loamy
5.51,7.13,228.19,Peaty
8.3,32.91,358.63,Sandy
8.38,11.23,58.16,Clay
8.75,14.17,246.33,Clay
8.16,44.53,375.66,Sandy
6.59,42.44,434.97,Sandy
4.52,6.88,70.66,Loamy
5.0,40.55,151.45,Clay
5.18,22.99,399.3,Clay
8.04,21.76,405.91,Silty
4.93,34.53,397.51,Peaty
5.53,37.9,394.59,Loamy
5.36,47.05,242.68,Silty
4.71,32.73,383.94,Clay
8.12,5.16,367.29,Loamy
8.38,19.96,54.79,Silty
5.53,27.68,250.91,Clay
7.65,10.41,358.49,Peaty
7.49,35.05,268.86,Peaty
6.02,22.32,448.49,Loamy
5.12,32.01,267.68,Silty
7.15,45.58,203.16,Peaty
5.95,36.9,89.53,Clay
5.51,41.27,260.39,Clay
7.9,39.99,188.03,Silty
6.77,26.03,247.99,Silty
6.78,26.78,204.04,Peaty
6.95,48.27,129.06,Peaty
8.22,8.48,252.21,Clay
8.35,34.96,338.41,Sandy
8.84,48.79,264.1,Loamy
5.98,6.36,173.72,Silty
6.86,38.23,64.76,Silty
7.09,18.13,90.35,Clay
8.25,42.73,233.25,Silty
8.18,8.73,63.5,Silty
6.25,37.9,120.17,Loamy
7.44,10.44,148.89,Sandy
7.64,34.13,53.77,Loamy
6.54,13.5,312.38,Loamy
6.29,18.53,375.42,Clay
8.12,18.8,313.65,Clay
6.76,5.79,218.57,Clay
6.27,43.96,254.56,Loamy
7.81,29.85,305.86,Sandy
4.78,39.08,436.45,Peaty
8.4,10.33,124.54,Peaty
6.13,18.83,431.4,Peaty
5.21,20.27,425.87,Loamy
8.74,29.61,133.06,Silty
5.24,48.52,364.95,Sandy
5.98,43.8,312.73,Silty
8.92,26.08,250.77,Loamy
8.27,23.76,325.49,Silty
8.01,32.64,276.25,Silty
6.1,28.01,283.11,Peaty
8.8,41.55,443.01,Loamy
4.99,35.82,204.33,Silty
5.41,11.15,316.99,Peaty
5.39,34.77,271.93,Peaty
7.09,31.79,350.35,Clay
5.45,8.8,207.92,Silty
6.45,25.12,325.64,Clay
7.78,35.26,83.17,Silty
6.32,21.27,192.74,Loamy
8.06,24.55,260.86,Sandy
5.55,44.26,391.55,Peaty
7.27,8.1,415.07,Clay
6.28,48.73,66.53,Clay
7.54,35.57,205.34,Peaty
8.19,34.65,149.96,Silty
7.33,33.28,179.84,Peaty
8.69,40.7,380.46,Loamy
7.72,49.17,373.63,Clay
6.94,39.81,123.19,Peaty
8.8,26.19,177.36,Peaty
8.01,13.27,254.73,Loamy
6.0,34.19,269.83,Loamy
6.62,43.02,381.92,Peaty
8.99,29.44,114.07,Loamy
8.49,5.8,170.87,Loamy
8.07,41.51,399.17,Clay
8.08,26.3,434.93,Sandy
5.96,24.97,54.3,Clay
8.34,34.77,99.35,Silty
5.36,10.49,238.11,Clay
7.85,27.5,143.99,Silty
8.85,41.7,73.39,Loamy
5.16,35.95,102.79,Peaty
8.61,17.08,200.47,Loamy
5.12,23.02,110.78,Loamy
8.39,13.47,294.58,Clay
4.89,8.92,354.11,Peaty
4.84,21.56,323.21,Peaty
8.84,10.4,288.55,Loamy
6.12,22.94,229.14,Silty
6.9,12.25,422.44,Peaty
6.49,44.21,132.67,Loamy
4.94,26.19,255.77,Loamy
5.86,32.55,188.19,Sandy
4.53,11.16,76.6,Silty
7.87,26.5,128.25,Clay
7.41,5.77,343.68,Silty
6.75,39.57,104.58,Peaty
8.97,6.58,167.62,Silty
8.59,29.22,132.11,Sandy
8.62,13.4,254.08,Sandy
5.47,25.58,175.96,Sandy
6.1,49.87,317.11,Silty
8.4,39.86,437.53,Peaty
4.61,46.94,449.71,Clay
5.46,13.96,221.35,Silty
4.6,20.66,282.85,Loamy
5.5,18.74,444.19,Sandy
7.73,46.94,315.17,Silty
8.54,41.91,164.72,Peaty
8.11,20.87,115.23,Loamy
5.34,20.91,215.92,Sandy
8.01,42.81,236.98,Sandy
7.21,17.44,375.16,Peaty
7.66,22.45,179.13,Silty
7.21,30.97,65.64,Clay
6.38,20.08,383.14,Silty
5.4,38.75,352.66,Peaty
8.72,32.78,239.46,Silty
5.65,38.5,408.4,Silty
7.91,23.51,125.07,Loamy
5.45,19.19,433.22,Sandy
8.57,36.55,226.71,Clay
7.57,45.77,377.75,Peaty
7.13,31.82,321.42,Peaty
8.53,10.75,438.18,Loamy
6.91,28.75,314.36,Loamy
6.22,31.45,159.35,Clay
8.9,43.91,150.48,Clay
8.5,5.79,101.55,Loamy
7.99,16.25,345.32,Loamy
7.76,27.53,162.68,Loamy
6.99,31.82,345.68,Clay
6.77,41.08,188.58,Clay
6.94,24.22,289.74,Clay
6.11,47.17,155.55,Clay
5.93,15.19,111.85,Silty
4.88,20.26,111.16,Silty
6.77,16.65,122.11,Sandy
5.45,44.21,351.6,Peaty
5.33,24.24,65.47,Loamy
6.45,10.24,179.56,Peaty
4.92,40.03,429.63,Sandy
4.91,18.25,195.04,Sandy
8.18,47.19,419.09,Clay
7.32,20.28,423.9,Clay
6.57,40.38,255.2,Sandy
8.82,8.26,54.46,Loamy
7.44,24.68,85.39,Sandy
8.2,22.26,191.91,Silty
6.24,29.03,363.25,Loamy
6.21,20.77,421.62,Loamy
8.14,19.7,326.99,Silty
5.47,21.99,75.43,Loamy
7.78,49.29,211.01,Silty
5.94,48.48,97.95,Silty
7.71,42.49,385.3,Loamy
6.51,7.62,380.13,Silty
7.9,17.44,272.59,Clay
8.06,19.35,227.93,Peaty
8.18,22.44,243.71,Loamy
5.3,32.19,164.08,Loamy
7.81,40.75,301.6,Clay
5.96,26.3,180.17,Clay
7.38,19.73,71.76,Peaty
5.22,18.62,435.18,Sandy
8.62,20.11,280.06,Loamy
4.86,6.79,74.8,Loamy
7.71,28.55,79.77,Clay
4.68,17.18,252.36,Peaty
5.12,24.93,420.8,Loamy
5.25,35.88,261.69,Sandy
6.77,22.3,282.47,Sandy
8.72,43.49,53.77,Silty
5.82,48.62,355.5,Clay
7.59,19.84,290.21,Loamy
8.78,45.78,166.97,Sandy
5.79,6.91,340.01,Loamy
8.8,9.96,171.69,Peaty
4.73,6.34,295.69,Clay
8.41,12.51,238.05,Sandy
6.43,34.19,247.62,Peaty
4.63,11.16,174.56,Peaty
4.85,39.53,251.91,Peaty
6.26,27.77,415.64,Peaty
8.62,8.03,296.85,Silty
4.95,9.81,260.9,Sandy
5.29,26.3,276.65,Loamy
8.63,32.3,366.51,Silty
5.71,6.79,401.46,Silty
6.13,45.36,411.96,Peaty
7.27,37.0,123.25,Loamy
8.72,38.46,224.47,Loamy
8.82,7.71,251.42,Loamy
6.7,20.87,291.62,Silty
7.93,25.35,376.21,Silty
4.86,39.58,322.13,Silty
7.02,38.86,142.21,Clay
7.08,42.9,315.49,Sandy
7.09,23.76,306.82,Clay
5.86,48.71,127.69,Clay
4.68,13.4,252.86,Silty
5.09,29.95,113.9,Silty
5.16,7.49,355.46,Peaty
8.06,15.55,74.35,Loamy
6.8,22.9,157.22,Sandy
4.55,8.83,237.16,Clay
6.67,30.49,447.37,Silty
5.67,7.47,183.14,Clay
4.68,44.2,102.52,Clay
6.09,37.03,94.95,Peaty
5.51,16.53,380.02,Sandy
6.69,8.87,84.76,Clay
6.65,6.5,368.67,Silty
8.58,15.96,112.63,Clay
7.67,39.67,307.75,Peaty
8.41,45.01,142.9,Clay
5.2,24.27,326.55,Loamy
7.32,27.27,277.93,Peaty
8.58,45.77,165.82,Silty
8.35,46.05,336.07,Loamy
5.33,7.24,331.37,Sandy
4.72,49.12,328.22,Silty
8.02,10.68,447.54,Sandy
5.37,26.62,217.41,Clay
8.13,28.37,277.12,Peaty
5.19,39.43,244.7,Silty
5.75,42.5,221.41,Sandy
5.32,37.24,404.29,Loamy
5.76,10.37,271.38,Sandy
5.78,39.97,373.11,Peaty
7.54,43.1,108.03,Clay
7.3,36.38,210.16,Loamy
8.12,40.08,387.3,Sandy
6.84,22.76,50.12,Clay
6.05,6.72,393.87,Sandy
6.56,36.89,230.99,Clay
7.93,35.14,226.7,Loamy
6.81,16.34,268.09,Sandy
6.76,34.68,300.26,Loamy
5.37,22.4,438.74,Clay
5.47,42.48,258.02,Clay
8.39,32.35,280.1,Loamy
8.96,12.42,167.1,Sandy
6.76,46.66,115.77,Silty
6.4,6.57,405.14,Silty
7.65,37.72,318.55,Sandy
5.36,12.72,338.69,Clay
7.68,22.84,160.48,Loamy
5.44,19.0,239.98,Loamy
7.73,35.9,242.69,Clay
7.7,15.11,184.9,Clay
8.06,14.62,289.29,Silty
8.15,41.39,400.44,Loamy
7.33,18.77,88.73,Silty
4.91,42.83,204.2,Peaty
7.62,22.25,211.7,Silty
7.06,44.07,265.46,Loamy
4.82,13.66,182.15,Loamy
4.98,24.07,144.86,Sandy
6.75,22.45,254.85,Peaty
7.77,40.52,205.98,Silty
7.4,17.72,372.74,Clay
5.31,9.44,206.31,Peaty
4.56,34.49,348.92,Peaty
6.66,8.15,393.23,Peaty
5.56,22.54,360.51,Silty
8.37,8.72,155.84,Peaty
8.89,6.88,233.71,Sandy
8.9,13.8,62.95,Silty
8.43,25.51,428.81,Clay
6.19,20.7,247.03,Sandy
5.95,24.12,211.76,Silty
6.85,16.93,283.86,Silty
8.97,5.75,93.17,Sandy
7.99,32.76,72.57,Peaty
6.12,45.91,155.71,Sandy
8.35,47.57,145.18,Silty
6.57,11.84,285.23,Peaty
8.45,29.5,382.15,Clay
4.87,36.69,403.79,Clay
6.37,30.14,338.31,Peaty
4.56,26.49,370.37,Clay
5.07,30.69,215.93,Clay
8.24,41.35,70.88,Sandy
5.44,6.02,98.73,Loamy
8.23,13.05,427.38,Clay
7.41,9.17,61.99,Silty
7.76,21.31,364.62,Loamy
5.9,12.55,142.73,Loamy
6.53,40.95,396.08,Peaty
5.13,35.63,447.34,Sandy
5.94,48.98,91.48,Silty
5.13,41.7,110.64,Sandy
6.09,39.66,228.34,Loamy
4.61,19.5,245.93,Peaty
8.2,7.93,426.35,Peaty
6.5,5.85,186.72,Silty
5.94,25.45,95.37,Peaty
6.87,43.64,109.86,Sandy
6.33,46.85,268.37,Clay
8.31,44.18,304.86,Silty
4.83,13.38,173.97,Peaty
5.09,36.83,237.2,Clay
6.52,31.09,95.55,Silty
4.71,47.88,356.82,Clay
5.56,23.06,168.63,Loamy
7.96,12.44,314.56,Loamy
5.07,37.98,374.59,Peaty
8.67,24.26,175.84,Silty
8.54,6.93,377.56,Silty
7.51,10.78,74.33,Clay
8.01,42.11,414.25,Loamy
4.58,13.99,128.88,Sandy
8.92,21.72,375.17,Sandy
7.04,13.29,413.92,Sandy
8.88,9.8,183.71,Sandy
5.96,40.34,207.85,Sandy
7.2,48.72,76.64,Peaty
7.34,39.9,273.69,Silty
6.35,6.24,201.2,Clay
6.55,36.49,138.28,Loamy
8.33,26.38,271.05,Peaty
8.44,6.02,54.91,Clay
6.37,7.88,238.17,Clay
8.8,17.16,414.78,Sandy
5.72,12.2,209.66,Silty
5.71,34.64,435.91,Peaty
7.55,34.47,366.85,Sandy
6.73,38.55,383.75,Loamy
6.23,30.69,257.86,Peaty
5.82,6.28,223.91,Clay
4.65,7.79,290.8,Silty
6.96,20.69,434.99,Loamy
5.09,9.54,63.62,Clay
4.72,18.19,223.39,Silty
5.09,23.49,429.75,Loamy
5.21,44.17,306.38,Silty
7.55,18.35,252.0,Silty
7.41,30.02,237.21,Silty
8.98,30.79,213.06,Clay
7.91,5.01,354.41,Peaty
7.45,7.81,154.46,Silty
7.41,9.14,396.1,Sandy
8.66,47.17,67.67,Sandy
4.93,45.0,299.52,Silty
5.71,44.77,147.21,Loamy
6.54,42.64,220.45,Peaty
4.63,17.58,369.73,Loamy
5.78,16.38,237.54,Clay
5.96,32.51,341.92,Loamy
5.98,7.47,290.08,Silty
5.49,29.34,321.88,Loamy
4.66,39.77,53.64,Silty
4.64,38.61,399.76,Silty
6.96,47.45,307.39,Clay
5.1,20.11,120.05,Silty
4.5,5.95,370.67,Clay
6.05,25.39,257.47,Clay
8.1,15.33,352.29,Clay
7.99,10.32,149.89,Loamy
4.66,48.39,160.32,Loamy
5.79,26.96,320.74,Silty
8.89,17.17,367.93,Silty
7.73,27.83,396.9,Silty
7.56,19.78,255.66,Sandy
5.03,25.9,372.05,Loamy
6.39,35.82,436.69,Sandy
8.35,19.83,265.5,Sandy
8.99,42.86,316.55,Sandy
4.59,17.94,240.95,Loamy
5.11,34.83,275.29,Clay
8.58,49.65,277.91,Clay
5.88,26.21,368.59,Clay
4.6,44.08,229.93,Clay
7.62,30.36,163.34,Peaty
8.09,48.29,291.6,Peaty
6.25,17.03,309.31,Sandy
4.56,23.76,292.75,Silty
5.92,21.63,341.24,Loamy
5.99,49.68,183.26,Loamy
8.02,37.32,288.38,Loamy
4.71,14.25,412.93,Sandy
7.34,48.01,59.06,Silty
6.37,15.42,351.18,Clay
8.02,16.2,70.33,Loamy
8.91,24.12,235.12,Clay
6.72,16.75,291.72,Sandy
5.65,46.06,357.0,Loamy
7.69,46.94,151.12,Loamy
7.41,49.52,427.01,Sandy
8.05,7.64,213.22,Sandy
8.37,20.08,314.21,Loamy
8.39,27.54,259.92,Silty
8.27,22.39,355.11,Clay
8.03,24.32,371.86,Silty
7.99,28.68,82.2,Loamy
6.75,40.66,403.17,Peaty
8.18,5.3,276.37,Clay
4.62,28.93,401.79,Loamy
8.4,42.0,238.64,Peaty
8.22,6.91,405.26,Silty
8.9,37.76,287.75,Loamy
8.25,16.51,204.6,Loamy
5.66,44.58,298.8,Silty
8.57,27.65,210.11,Peaty
6.62,28.72,127.88,Silty
5.37,37.64,98.42,Clay
6.56,13.94,200.64,Clay
8.48,45.82,183.65,Loamy
4.73,40.15,288.18,Sandy
8.95,36.55,335.98,Sandy
4.67,46.28,371.77,Loamy
8.23,47.2,334.09,Clay
7.66,12.54,371.52,Silty
4.56,29.16,217.54,Silty
5.46,21.66,374.61,Loamy
9.0,40.74,323.71,Loamy
7.17,47.4,400.32,Clay
7.94,7.01,66.58,Sandy
8.06,46.95,123.63,Clay
8.35,29.64,439.87,Sandy
8.03,34.08,269.88,Silty
7.15,42.18,437.3,Silty
5.83,14.48,105.01,Clay
5.71,47.61,399.59,Loamy
6.94,40.45,345.47,Peaty
8.87,33.09,323.42,Sandy
5.52,6.48,351.41,Silty
5.93,41.66,136.39,Silty
8.6,33.3,87.21,Loamy
7.01,5.19,411.51,Peaty
8.03,32.06,116.84,Clay
7.87,28.27,295.42,Loamy
6.12,8.57,75.05,Silty
4.76,22.96,329.58,Silty
6.2,25.01,134.34,Peaty
7.18,48.48,399.96,Clay
8.03,20.73,161.7,Loamy
8.54,13.65,204.27,Silty
7.62,23.75,157.99,Sandy
6.04,9.82,310.36,Silty
8.84,7.18,404.34,Clay
6.95,13.67,324.75,Clay
5.86,46.44,149.75,Sandy
5.83,15.32,80.43,Clay
5.03,22.25,309.53,Peaty
7.39,46.34,99.05,Clay
7.91,47.61,437.42,Clay
8.68,41.79,184.99,Loamy
6.73,8.79,230.84,Clay
7.17,28.16,185.41,Sandy
8.75,38.2,261.44,Loamy
8.43,30.14,159.0,Peaty
4.51,5.43,55.89,Clay
7.17,45.81,61.31,Clay
6.63,34.38,231.62,Peaty
8.02,21.14,194.55,Silty
6.33,25.63,412.81,Sandy
6.16,41.39,344.89,Loamy
7.8,37.45,318.91,Sandy
7.91,49.39,362.59,Silty
8.23,36.33,71.19,Peaty
4.81,8.2,285.44,Silty
8.7,18.24,343.36,Clay
6.78,6.14,228.79,Sandy
5.94,29.92,313.42,Loamy
4.53,27.7,212.95,Sandy
7.57,25.84,102.46,Sandy
6.49,38.79,181.62,Clay
8.05,8.48,244.43,Peaty
6.98,42.63,55.28,Peaty
6.35,34.51,177.76,Clay
7.47,44.57,439.32,Sandy
6.32,39.21,251.33,Peaty
4.81,46.3,353.23,Silty
5.39,9.68,79.27,Clay
7.54,42.65,53.87,Peaty
5.88,32.22,434.28,Sandy
5.86,25.73,78.91,Sandy
6.22,25.74,112.59,Sandy
6.15,28.2,368.48,Peaty
7.61,31.46,271.7,Peaty
5.02,13.52,188.59,Silty
6.89,30.25,300.17,Loamy
5.92,18.35,259.71,Loamy
6.16,22.17,50.82,Loamy
8.16,28.34,214.21,Clay
4.95,37.19,68.4,Peaty
5.72,6.21,330.42,Loamy
8.65,29.28,395.22,Loamy
8.57,35.52,94.07,Loamy
7.42,45.91,57.68,Sandy
5.57,25.17,417.85,Silty
5.97,45.28,314.58,Silty
7.66,35.54,411.03,Clay
5.73,8.37,213.26,Sandy
6.75,49.73,224.08,Silty
7.73,7.14,415.62,Sandy
6.51,43.14,173.51,Peaty
7.55,43.03,62.17,Silty
8.22,27.23,269.28,Clay
7.46,6.96,133.47,Peaty
5.03,9.29,383.16,Silty
7.01,39.12,114.7,Clay
5.14,13.62,383.21,Silty
7.47,39.79,406.7,Peaty
8.45,5.86,401.75,Loamy
5.71,29.2,314.52,Loamy
6.87,8.04,120.76,Loamy
4.8,17.68,320.84,Silty
5.83,49.57,270.51,Silty
4.98,26.57,311.29,Peaty
5.43,25.58,82.12,Clay
5.54,5.65,161.36,Sandy
7.94,17.17,446.15,Peaty
5.92,48.0,415.52,Clay
6.14,44.66,156.59,Clay
8.22,16.73,220.17,Silty
8.67,24.02,368.14,Silty
6.88,33.05,125.26,Silty
4.92,43.76,297.21,Clay
8.16,49.35,147.76,Peaty
5.47,21.42,335.5,Peaty
7.21,11.3,365.51,Silty
5.04,32.58,58.4,Sandy
8.79,15.27,86.4,Peaty
8.24,47.5,160.15,Loamy
6.96,27.07,264.8,Peaty
6.99,33.66,183.25,Silty
8.09,5.62,123.61,Peaty
8.16,6.1,89.64,Sandy
8.98,16.69,176.9,Sandy
7.99,47.24,399.41,Clay
7.71,48.67,153.86,Loamy
7.51,13.99,143.25,Silty
8.62,39.26,180.79,Peaty
5.42,35.31,76.95,Silty
6.92,47.72,74.82,Sandy
7.34,32.77,378.36,Loamy
6.81,44.86,175.08,Clay
7.1,14.6,182.48,Silty
8.27,23.91,310.28,Clay
8.57,25.31,347.53,Peaty
7.75,30.98,111.98,Peaty
6.45,27.38,362.93,Clay
5.73,32.43,192.7,Peaty
8.71,25.15,258.08,Silty
5.67,37.11,93.45,Clay
5.49,39.0,417.53,Peaty
6.9,47.55,72.22,Loamy
5.3,36.24,277.79,Clay
5.3,30.82,128.68,Loamy
8.69,42.12,388.75,Sandy
7.68,33.37,419.87,Clay
6.14,18.12,119.41,Loamy
6.45,34.25,309.25,Loamy
6.37,28.0,200.53,Clay
4.71,49.75,441.48,Peaty
6.58,12.92,55.88,Peaty
5.17,22.51,243.26,Sandy
6.83,33.89,423.66,Loamy
5.76,16.38,337.85,Clay
6.08,30.9,146.56,Loamy
4.56,34.77,50.98,Clay
6.61,40.11,292.31,Silty
8.92,24.47,81.86,Sandy
8.58,38.76,106.71,Loamy
7.43,29.74,61.49,Sandy
4.92,14.05,256.01,Loamy
5.44,17.74,100.6,Clay
8.44,33.94,380.21,Sandy
7.77,40.57,194.12,Clay
8.91,19.19,52.8,Clay
5.44,19.18,165.57,Peaty
5.08,16.89,51.75,Sandy
5.27,5.11,384.68,Silty
4.83,31.36,445.71,Peaty
6.27,38.08,145.37,Loamy
5.75,11.5,121.06,Silty
8.06,12.14,425.77,Peaty
5.01,41.48,306.1,Sandy
5.78,48.08,210.82,Peaty
8.85,28.11,285.68,Peaty
8.74,21.29,89.45,Silty
5.45,22.34,213.67,Silty
6.97,30.06,394.01,Silty
5.25,28.6,402.46,Clay
5.35,19.32,249.43,Clay
5.36,12.25,142.53,Peaty
5.17,13.26,215.4,Silty
7.25,5.86,373.19,Peaty
7.3,5.74,177.53,Clay
6.94,34.87,136.4,Clay
8.83,7.22,87.93,Loamy
8.94,17.52,62.67,Loamy
6.97,12.79,71.31,Silty
6.56,42.43,135.95,Silty
8.38,12.09,409.37,Clay
4.51,15.82,334.55,Sandy
5.17,39.72,284.73,Silty
7.66,36.23,317.16,Clay
9.0,36.87,275.87,Silty
6.62,14.22,322.65,Silty
7.58,36.28,81.01,Silty
4.92,15.06,130.46,Silty
5.37,13.96,53.58,Clay
7.13,31.45,53.04,Loamy
5.9,9.11,432.7,Sandy
5.56,45.0,405.4,Clay
5.66,46.07,346.32,Loamy
8.52,31.54,124.79,Loamy
5.38,39.75,108.17,Loamy
6.34,41.12,342.7,Loamy
6.9,41.7,381.42,Sandy
5.98,24.04,231.85,Peaty
7.57,18.46,194.72,Loamy
4.73,27.71,61.51,Peaty
6.54,11.6,158.29,Peaty
5.67,8.93,137.68,Clay
5.03,12.73,363.79,Clay
7.58,47.56,338.24,Clay
8.23,38.01,359.7,Sandy
6.58,8.47,421.96,Silty
6.71,8.82,169.29,Peaty
8.76,28.4,303.12,Loamy
4.86,19.83,140.05,Loamy
5.53,41.28,238.46,Clay
4.81,42.09,108.94,Silty
8.19,43.65,358.46,Loamy
7.27,18.52,136.29,Silty
4.62,12.18,283.87,Clay
4.74,31.6,185.93,Loamy
7.77,37.11,361.04,Silty
7.58,44.38,310.62,Silty
5.94,48.46,152.99,Sandy
8.48,9.15,375.35,Loamy
6.01,18.33,75.38,Peaty
5.32,24.44,268.2,Peaty
8.62,35.88,119.0,Loamy
7.93,8.13,54.59,Sandy
8.19,25.16,365.67,Silty
5.4,42.38,55.4,Silty
6.19,8.68,227.29,Peaty
5.41,44.54,61.59,Clay
7.85,26.18,211.47,Peaty
6.63,49.79,214.93,Clay
7.55,23.34,82.04,Silty
6.27,23.5,321.95,Loamy
6.05,42.93,298.43,Silty
4.61,42.12,107.74,Peaty
5.82,34.52,83.26,Silty
8.73,18.75,130.51,Loamy
6.64,46.24,326.12,Clay
4.64,39.78,138.35,Peaty
8.91,44.72,310.02,Silty
8.75,30.77,372.15,Loamy
8.86,45.27,203.88,Silty
4.84,5.85,418.89,Clay
6.47,5.16,316.18,Silty
7.8,23.25,377.39,Silty
5.54,46.33,351.1,Sandy
6.58,26.85,256.97,Peaty
5.35,8.93,243.53,Loamy
8.0,28.04,227.9,Peaty
8.11,39.92,264.38,Loamy
7.91,13.78,392.12,Silty
8.25,19.01,259.96,Loamy
4.76,19.28,172.27,Peaty
4.66,17.48,60.95,Peaty
5.56,32.06,442.09,Clay
5.95,9.9,103.18,Peaty
8.41,13.28,91.25,Clay
6.78,26.51,180.91,Peaty
5.19,17.76,257.84,Silty
6.59,17.66,336.96,Loamy
7.14,8.34,205.17,Clay
7.95,6.08,365.9,Sandy
5.55,14.93,241.24,Sandy
8.42,22.04,297.0,Loamy
6.92,10.63,365.82,Peaty
6.07,37.26,131.14,Loamy
6.36,24.59,96.56,Silty
8.9,42.03,440.63,Silty
4.74,45.55,421.03,Loamy
5.83,7.35,318.53,Peaty
5.22,45.05,124.27,Peaty
6.8,35.75,274.68,Sandy
5.95,13.17,304.85,Loamy
6.01,33.29,411.22,Sandy
5.71,31.11,211.21,Peaty
